"proposed_use","existing_construction_type","status_date","proposed_units","proposed_construction_type","permit_number","proposed_occupancy","data_loaded_at","description","primary_address_flag","revised_cost","street_name","supervisor_district","street_suffix","completed_date","lot","unit_suffix","filed_date","fire_only_permit","issued_date","plansets","structural_notification","block","application_submission_method","point_source","site_permit","number_of_existing_stories","number_of_proposed_stories","data_as_of","neighborhoods_analysis_boundaries","existing_occupancy","permit_type_definition","last_permit_activity_date","permit_type","permit_creation_date","zipcode","record_id","proposed_construction_type_description","unit","adu","estimated_cost","street_number","existing_use","existing_units","location","street_number_suffix","status","existing_construction_type_description"
"1 family dwelling","5","2023-08-28T11:03:07.000","1","5","202308285403","R-3","2023-09-08T04:14:49.000","convert one (e) bath rm to two bath rm. all work at 2nd fl.","Y","0","Prague","11","St","","031","","2023-08-28T11:03:07.000","","","2","","6449","in-house","parcel_centroid","","2","2","2023-09-07T23:55:00.000","Excelsior","R-3","otc alterations permit","2023-08-28T12:11:09.000","8","2023-08-28T00:00:00.000","94112","1677005203442","wood frame (5)","","N","44000","924","1 family dwelling","1","{""coordinates"":[-122.435522512,37.710317306],""type"":""Point""}","","filed","wood frame (5)"
"2 family dwelling","5","2023-08-28T10:00:19.000","2","5","202308285392","R-3","2023-09-08T04:14:49.000","(rear) as-built for building permit #2023-0427-6574 - changes to sidewall heads and (e) galvanized pipe (size & material) verified by inspector.","Y","0","Hill","8","St","","083","","2023-08-28T10:00:19.000","Y","","2","","3620","in-house","parcel_centroid","","1","1","2023-09-07T23:55:00.000","Noe Valley","R-3","otc alterations permit","2023-08-28T10:32:36.000","8","2023-08-28T00:00:00.000","94114","1676993162637","wood frame (5)","","N","1","335","2 family dwelling","2","{""coordinates"":[-122.428595043,37.755400337],""type"":""Point""}","","filed","wood frame (5)"
"sewage plant","","2023-08-28T09:57:11.000","0","2","202308285391","F-2","2023-09-08T04:14:49.000","installation of 10"" fire service (fs) 300 feet underground pipe and backflow preventer, ref pa# 202203160116 r1 & 202303172336.","Y","288000","Jerrold","10","Av","","009","","2023-08-28T09:57:11.000","Y","","2","","5262","in-house","parcel_centroid","","","","2023-09-07T23:55:00.000","Bayview Hunters Point","","otc alterations permit","2023-08-28T11:07:51.000","8","2023-08-28T00:00:00.000","94124","1676992178277","constr type 2","","N","30000","1800","","","{""coordinates"":[-122.391617594,37.742495203],""type"":""Point""}","","filed",""
"2 family dwelling","5","2023-08-28T10:22:35.000","2","5","202308285380","R-3","2023-09-08T04:14:49.000","replace 3 windows in back of hom, not viisble to street. nail on , all vinyl, same size and location. one window opening includes replacing original rough opening framing due to (e) dry rot, no change to (e) opening size or location. u factor = .30.","Y","6860","Cole","8","St","","002","","2023-08-28T09:00:36.000","","2023-08-28T10:22:35.000","0","","1261","in-house","parcel_centroid","","2","2","2023-09-07T23:55:00.000","Haight Ashbury","R-3","otc alterations permit","2023-08-28T10:13:09.000","8","2023-08-28T00:00:00.000","94117","1676981369433","wood frame (5)","","N","6860","757","2 family dwelling","2","{""coordinates"":[-122.450549547,37.767439145],""type"":""Point""}","","issued","wood frame (5)"
"food/beverage hndlng","3","2023-08-28T08:56:54.000","","3","202308285378","B,M,S-1,S-2","2023-09-08T04:14:49.000","ste 1400: renovation of (e) tenant space previous occupant was restaurant, the new occupant will be food service restaurant. new plumbing, sinks and electrical. provide required services, new floors, relocated walls and wall improvements.","Y","0","Berry","6","St","","005","","2023-08-28T08:56:54.000","","","2","","3803","in-house","parcel_centroid","","6","6","2023-09-07T23:55:00.000","Mission Bay","B,M,S-1,S-2","otc alterations permit","2023-09-01T16:52:03.000","8","2023-08-28T00:00:00.000","94158","1676979348598","constr type 3","","N","600000","185","food/beverage hndlng","","{""coordinates"":[-122.39179681,37.776327159],""type"":""Point""}","","filed","constr type 3"
"2 family dwelling","5","2023-08-28T12:03:12.000","2","5","202308285402","B,R-3","2023-09-08T04:14:49.000","repair of back upper wall, removal of damaged metal sheathing & installation of (n) fiber cement siding w/ (n) waterproofing membrane followed by trims & casings out of fiber center. invisible street - back upper wall","Y","56130","Geary","2","Bl","","026","","2023-08-28T10:41:14.000","","2023-08-28T12:03:12.000","0","","1090","in-house","parcel_centroid","","2","2","2023-09-07T23:55:00.000","Lone Mountain/USF","B,R-3","otc alterations permit","2023-08-28T11:42:10.000","8","2023-08-28T00:00:00.000","94118","167700489383","wood frame (5)","","N","56130","2941","2 family dwelling","2","{""coordinates"":[-122.450748948,37.781684434],""type"":""Point""}","","issued","wood frame (5)"
"1 family dwelling","5","2023-08-28T15:35:38.000","1","5","202308285462","R-3","2023-09-08T04:14:49.000","fill in (e) north light well, reconstruct (e) interior stair, provide 3 (n) skylights.  1/f: privide (n) bathroom, 2 (n) bedrooms, (n) family room, (n) deck at rear.  2/f: remodel (e) kitchen and (e) bathroom, provide (n) master room, (n) bathroom.","Y","189000","20th","4","Av","","010","","2023-08-28T15:35:38.000","","","2","Y","2057","in-house","parcel_centroid","","2","2","2023-09-07T23:55:00.000","Sunset/Parkside","R-3","otc alterations permit","2023-09-07T11:19:58.000","8","2023-08-28T00:00:00.000","94122","1677067123763","wood frame (5)","","N","189000","1847","1 family dwelling","1","{""coordinates"":[-122.477810801,37.753283582],""type"":""Point""}","","filed","wood frame (5)"
"retail sales","5","2023-08-28T14:20:23.000","0","5","202308285443","B,M","2023-09-08T04:14:49.000","comply with nov 202306019 to restore original storefront. remove walls, doors, addition at corner, and wall interfering with egress requirements. remove electric and plumbing work all without benefit of permit. remove sign complaint 202293043","Y","0","Ocean","7","Av","","020C","","2023-08-28T14:20:23.000","","","2","","3281","in-house","parcel_centroid","","2","2","2023-09-07T23:55:00.000","West of Twin Peaks","B,M","otc alterations permit","2023-08-28T14:26:26.000","8","2023-08-28T00:00:00.000","94127","1677049155850","wood frame (5)","","N","20000","1944","retail sales","0","{""coordinates"":[-122.463542431,37.726028947],""type"":""Point""}","","filed","wood frame (5)"
"filling/service stn","5","2023-08-28T10:45:33.000","","5","202308285400","M","2023-09-08T04:14:49.000","to obtain final inspection for work approved under permit application #: 201709067060, 201709067066, & 201709067070. all work is complete.","Y","1","San Bruno","9","Av","","024","","2023-08-28T10:38:21.000","","2023-08-28T10:45:33.000","0","","5924","in-house","parcel_centroid","","1","1","2023-09-07T23:55:00.000","Portola","M","otc alterations permit","2023-08-28T10:41:24.000","8","2023-08-28T00:00:00.000","94134","1677002375361","wood frame (5)","","N","1","2400","filling/service stn","","{""coordinates"":[-122.405750083,37.73215956],""type"":""Point""}","","issued","wood frame (5)"
"1 family dwelling","5","2023-08-28T15:49:30.000","1","5","202308285450","R-3","2023-09-08T04:14:49.000","to comply with complaint #202308534. relocate down spout at rear building","Y","1000","25th","1","Av","","023","","2023-08-28T14:48:35.000","","2023-08-28T15:49:30.000","0","","1520","in-house","parcel_centroid","","2","2","2023-09-07T23:55:00.000","Outer Richmond","R-3","otc alterations permit","2023-08-28T15:41:36.000","8","2023-08-28T00:00:00.000","94121","1677059102607","wood frame (5)","","N","1000","562","1 family dwelling","1","{""coordinates"":[-122.484317598,37.778874229],""type"":""Point""}","","issued","wood frame (5)"
"office","4","2023-08-28T12:51:29.000","","4","202308285421","B,M","2023-09-08T04:14:49.000","install water heater, paint, flooring replaced. change of use from retail to office","Y","0","Peace","5","Pz","","024","","2023-08-28T12:51:29.000","","","0","","0700","in-house","parcel_centroid","","2","2","2023-09-07T23:55:00.000","Japantown","B,M","otc alterations permit","2023-09-07T15:07:58.000","8","2023-08-28T00:00:00.000","","167702379914","constr type 4","","N","3000","22","retail sales","","{""coordinates"":[-122.428704273,37.785164999],""type"":""Point""}","","filed","constr type 4"
"apartments","5","2023-08-28T13:02:17.000","10","5","202308285422","R-2","2023-09-08T04:14:49.000","rev to pa#202210265196. floor drain to be installed at bath 1. (e) shower and toilet locations to remain at bath 2, 2nd fl.","Y","0","Vallejo","2","St","","020","","2023-08-28T13:02:17.000","","","2","","0551","in-house","parcel_centroid","","4","4","2023-09-07T23:55:00.000","Marina","R-2","otc alterations permit","2023-08-28T13:04:51.000","8","2023-08-28T00:00:00.000","94123","167702474029","wood frame (5)","","N","1","1624","apartments","10","{""coordinates"":[-122.424761397,37.796824669],""type"":""Point""}","","filed","wood frame (5)"
"1 family dwelling","5","2023-08-28T14:11:35.000","1","5","202308285440","R-3","2023-09-08T04:14:49.000","interior remodel within the envelope. new kitchen and bathrooms, new mep, new forced aire furnace. new skylights, roofing, interior finishes & flooring. voluntary structural upgrade. repair in-kind dryrot. no change to building front, no additional envelope. no work in public right of way.","Y","0","29th","8","St","","019","","2023-08-28T14:11:35.000","","","2","","6620","in-house","parcel_centroid","","2","2","2023-09-07T23:55:00.000","Noe Valley","R-3","otc alterations permit","2023-08-31T11:01:11.000","8","2023-08-28T00:00:00.000","94131","1677046209423","wood frame (5)","","N","185000","460","1 family dwelling","1","{""coordinates"":[-122.430317137,37.743722505],""type"":""Point""}","","filed","wood frame (5)"
"food/beverage hndlng","1","2023-08-28T09:03:14.000","291","1","202308285373","B,M,R-2","2023-09-08T04:14:49.000","fire suppression system: ""giles"" ventless hiid with hood 3 duct ansul system biledin.","","5300","King","6","St","","609","R-1","2023-08-28T08:36:45.000","Y","2023-08-28T09:03:14.000","2","","8702","in-house","parcel_centroid","","16","16","2023-09-07T23:55:00.000","Mission Bay","B,M,R-2","otc alterations permit","2023-08-28T09:01:16.000","8","2023-08-28T00:00:00.000","94107","1676974487951","constr type 1","","N","1500","200","food/beverage hndlng","291","{""coordinates"":[-122.393418135,37.777642219],""type"":""Point""}","","issued","constr type 1"
"apartments","1","2023-08-31T11:36:09.000","187","1","202308285436","R-2","2023-09-08T04:14:49.000","unit# 322: convert (e) tub to shower in same locaiton in (e) bath. repatch with tiling.","Y","8000","Folsom","6","St","","245","","2023-08-28T13:51:19.000","","2023-08-31T11:36:09.000","0","","3752","in-house","parcel_centroid","","8","8","2023-09-07T23:55:00.000","South of Market","R-2","otc alterations permit","2023-08-31T11:32:18.000","8","2023-08-28T00:00:00.000","94107","1677040395441","constr type 1","322","N","8000","855","apartments","187","{""coordinates"":[-122.402141842,37.780767301],""type"":""Point""}","","issued","constr type 1"
"2 family dwelling","5","2023-08-28T10:56:59.000","2","5","202308285384","R-3","2023-09-08T04:14:49.000","replace 1 sliding patio door, nail on, back of house, not visible from street. vinyl, same size, same location. u factor = 0.30.","Y","4700","Milton","8","St","","025","","2023-08-28T09:08:27.000","","2023-08-28T10:56:59.000","0","","6723","in-house","parcel_centroid","","3","3","2023-09-07T23:55:00.000","Outer Mission","R-3","otc alterations permit","2023-08-28T10:54:12.000","8","2023-08-28T00:00:00.000","94112","1676984412539","wood frame (5)","0","N","4700","13","2 family dwelling","2","{""coordinates"":[-122.429286589,37.734214246],""type"":""Point""}","","issued","wood frame (5)"
"1 family dwelling","5","2023-08-28T15:12:41.000","1","5","202308285457","R-3","2023-09-08T04:14:49.000","for complaint no. 202312605 and no. 202312541. property maintenance: replace water heater, same location. gas leak in garage, open wall and fix. drywall installation and insulation repair. window repair and smoke detector install replacement.","Y","0","27th","1","Av","","002D","","2023-08-28T15:12:41.000","","","0","","1459","in-house","parcel_centroid","","2","2","2023-09-07T23:55:00.000","Outer Richmond","R-3","otc alterations permit","2023-08-28T15:47:40.000","8","2023-08-28T00:00:00.000","94121","1677070100594","wood frame (5)","","N","2000","435","1 family dwelling","1","{""coordinates"":[-122.487294773,37.781216397],""type"":""Point""}","","filed","wood frame (5)"
"1 family dwelling","5","2023-09-07T10:06:03.000","1","5","202308285426","R-3","2023-09-08T04:14:49.000","reroofing","Y","17860","Harrison","9","St","2023-09-07T10:06:03.000","007","","2023-08-28T13:11:29.000","","2023-08-28T14:19:34.000","0","","5525","in-house","parcel_centroid","","2","2","2023-09-07T23:55:00.000","Bernal Heights","R-3","otc alterations permit","2023-08-28T14:16:54.000","8","2023-08-28T00:00:00.000","94110","1677030183549","wood frame (5)","","N","17860","3244","1 family dwelling","1","{""coordinates"":[-122.411817506,37.746143208],""type"":""Point""}","","complete","wood frame (5)"
"apartments","5","2023-08-28T11:22:39.000","3","5","202308285399","R-2","2023-09-08T04:14:49.000","replace in kind 1 x 10 siding (cove) roughty 500 sq ft on the east side and south side. this is because of dry rot in the old siding (not visible from the street.)","Y","2000","Golden Gate","5","Av","","035","","2023-08-28T10:30:11.000","","2023-08-28T11:22:39.000","0","","1157","in-house","parcel_centroid","","3","3","2023-09-07T23:55:00.000","Western Addition","R-2","otc alterations permit","2023-08-28T11:17:51.000","8","2023-08-28T00:00:00.000","94115","1677001510155","wood frame (5)","1","N","2000","1865","apartments","3","{""coordinates"":[-122.441175847,37.778105452],""type"":""Point""}","","issued","wood frame (5)"
"residential hotel","5","2023-08-29T10:04:05.000","0","5","202308285441","R-2","2023-09-08T04:14:49.000","to verify sound levels in sleeping areas, comply with sffc 1103.7.6.1 indicating the reading area at leaset 75dba.","Y","1","Jackson","3","St","","022","","2023-08-28T14:13:12.000","Y","2023-08-29T10:04:05.000","2","","0597","in-house","parcel_centroid","","3","3","2023-09-07T23:55:00.000","Russian Hill","R-2","otc alterations permit","2023-08-29T10:00:35.000","8","2023-08-28T00:00:00.000","94109","1677047235754","wood frame (5)","","N","1","1535","residential hotel","0","{""coordinates"":[-122.420363439,37.793999452],""type"":""Point""}","","issued","wood frame (5)"
"apartments","5","2023-08-28T08:32:11.000","8","5","202308285371","R-2,B","2023-09-08T04:14:49.000","unit #1: remodel one kitchen and one bathroom repair latt and plaster where needed.","Y","58000","Jones","3","St","","017","","2023-08-28T08:05:46.000","","2023-08-28T08:32:11.000","0","","0092","in-house","parcel_centroid","","4","4","2023-09-07T23:55:00.000","Russian Hill","R-2,B","otc alterations permit","2023-08-28T08:28:23.000","8","2023-08-28T00:00:00.000","94133","167697158533","wood frame (5)","","N","48000","2100","apartments","8","{""coordinates"":[-122.415793391,37.800759346],""type"":""Point""}","","issued","wood frame (5)"
"2 family dwelling","5","2023-08-28T10:53:26.000","2","5","202308285389","R-3","2023-09-08T04:14:49.000","rev to pa 202108307366: (e) wall at north elevation of decks to remain at 2/f & 3/f. new walls at east elevation of decks; (e) roof above decks to remain.","Y","10000","18th","8","St","","115","","2023-08-28T09:46:48.000","","2023-08-28T10:53:26.000","2","","3582","in-house","parcel_centroid","","4","4","2023-09-07T23:55:00.000","Castro/Upper Market","R-3","otc alterations permit","2023-08-28T10:45:05.000","8","2023-08-28T00:00:00.000","94114","1676990467501","wood frame (5)","0","N","10000","4038","2 family dwelling","2","{""coordinates"":[-122.433686874,37.761193162],""type"":""Point""}","","issued","wood frame (5)"
"apartments","1","2023-08-28T15:33:34.000","440","1","202308285424","R-2","2023-09-08T04:14:49.000","unit 312: rev to pad  202307273104 to show furred wals along concrete wall ner living room. no exterior work. change of layout.","Y","8500","Davis","3","Ct","","014","","2023-08-28T13:07:19.000","","2023-08-28T15:33:34.000","2","","0200","in-house","parcel_centroid","","20","20","2023-09-07T23:55:00.000","Financial District/South Beach","R-2","otc alterations permit","2023-08-28T15:23:44.000","8","2023-08-28T00:00:00.000","94111","1677027491633","constr type 1","","N","8500","440","apartments","440","{""coordinates"":[-122.397771188,37.79669694],""type"":""Point""}","","issued","constr type 1"
"apartments","5","2023-08-29T11:44:33.000","21","5","202308285418","R-2","2023-09-08T04:14:49.000","to verify (e) sound levels in sleeping areas, complying with sffc section 1103.7.6.1, indicating the dba readings in each living area and sleeping aread of at least 75dba.","Y","1","Columbus","3","Av","","024","A","2023-08-28T12:35:57.000","Y","2023-08-29T11:44:33.000","2","","0195","in-house","parcel_centroid","","3","3","2023-09-07T23:55:00.000","Chinatown","R-2","otc alterations permit","2023-08-29T11:43:15.000","8","2023-08-28T00:00:00.000","94111","1677020495004","wood frame (5)","","N","1","55","apartments","21","{""coordinates"":[-122.404373984,37.79589247],""type"":""Point""}","","issued","wood frame (5)"
"1 family dwelling","5","2023-08-28T09:14:09.000","1","5","202308285368","R-3","2023-09-08T04:14:49.000","kitchen remodel, alter non load bearing walls, new cabinets.","Y","38224","De Haro","10","St","","033","","2023-08-28T07:36:25.000","","2023-08-28T09:14:09.000","2","","4283B","in-house","parcel_centroid","","2","2","2023-09-07T23:55:00.000","Potrero Hill","R-3","otc alterations permit","2023-08-28T09:09:46.000","8","2023-08-28T00:00:00.000","94107","1676966173260","wood frame (5)","","N","20000","1451","1 family dwelling","1","{""coordinates"":[-122.400132842,37.751231519],""type"":""Point""}","","issued","wood frame (5)"
"apartments","5","2023-08-29T11:18:06.000","5","5","202308285412","R-2","2023-09-08T04:14:49.000","fire alarm system replacement to comply with sffc 1103.7.6.1, replace fire alarm control panel, new aes radio, remove power supply, smoke detectors, manual pulls, monitoring modules, lf sounders and horn strobes.","Y","20376","Fell","5","St","","004","","2023-08-28T11:26:55.000","Y","2023-08-29T11:18:06.000","2","","0824","in-house","parcel_centroid","","3","3","2023-09-07T23:55:00.000","Hayes Valley","R-2","otc alterations permit","2023-08-29T11:15:20.000","8","2023-08-28T00:00:00.000","94117","1677013237386","wood frame (5)","","N","10000","1060","apartments","5","{""coordinates"":[-122.435398473,37.774576621],""type"":""Point""}","","issued","wood frame (5)"
"apartments","5","2023-08-28T13:02:17.000","10","5","202308285422","R-2","2023-09-08T04:14:49.000","rev to pa#202210265196. floor drain to be installed at bath 1. (e) shower and toilet locations to remain at bath 2, 2nd fl.","","0","Vallejo","2","St","","020","","2023-08-28T13:02:17.000","","","2","","0551","in-house","parcel_centroid","","4","4","2023-09-07T23:55:00.000","Marina","R-2","otc alterations permit","2023-08-28T13:04:51.000","8","2023-08-28T00:00:00.000","94123","1677026413945","wood frame (5)","0","N","1","1626","apartments","10","{""coordinates"":[-122.424761397,37.796824669],""type"":""Point""}","","filed","wood frame (5)"
"1 family dwelling","5","2023-08-28T09:31:31.000","1","5","202308285377","R-3","2023-09-08T04:14:49.000","reroofing","Y","10600","Bush","5","St","","036","","2023-08-28T08:54:34.000","","2023-08-28T09:31:31.000","0","","0661","in-house","parcel_centroid","","2","2","2023-09-07T23:55:00.000","Pacific Heights","R-3","otc alterations permit","2023-08-28T09:24:49.000","8","2023-08-28T00:00:00.000","94115","167697878155","wood frame (5)","","N","10600","2012","1 family dwelling","1","{""coordinates"":[-122.430784091,37.787649095],""type"":""Point""}","","issued","wood frame (5)"
"1 family dwelling","5","2023-08-28T13:09:18.000","1","5","202308285405","R-3","2023-09-08T04:14:49.000","remove (e) stucco at the front and replace in kind approx 500 sq ft.","Y","13000","29th","4","Av","","024A","","2023-08-28T11:06:20.000","","2023-08-28T13:09:18.000","0","","1783","in-house","parcel_centroid","","1","1","2023-09-07T23:55:00.000","Sunset/Parkside","R-3","otc alterations permit","2023-08-28T13:04:56.000","8","2023-08-28T00:00:00.000","94122","1677007114016","wood frame (5)","","N","13000","1358","1 family dwelling","1","{""coordinates"":[-122.487433196,37.762001014],""type"":""Point""}","","issued","wood frame (5)"
"2 family dwelling","5","2023-08-28T11:36:56.000","2","5","202308285398","R-3","2023-09-08T04:14:49.000","painting, repair, replace exterior side walls. side, back, and front.","Y","35000","Judah","4","St","","019","","2023-08-28T10:22:28.000","","2023-08-28T11:36:56.000","0","","1797","in-house","parcel_centroid","","3","3","2023-09-07T23:55:00.000","Sunset/Parkside","R-3","otc alterations permit","2023-08-28T11:30:23.000","8","2023-08-28T00:00:00.000","94122","1677000114675","wood frame (5)","","N","35000","3738","2 family dwelling","2","{""coordinates"":[-122.502367688,37.760829391],""type"":""Point""}","","issued","wood frame (5)"
"office","1","2023-08-28T16:01:23.000","","1","202308285437","B","2023-09-08T04:14:49.000","fire alarm t.i: decommissioning existing pre-action system. no new fa devices; existing notfier nfs2-3030, fire alarm system.","Y","4568","Front","3","St","","009","","2023-08-28T13:54:46.000","Y","2023-08-28T16:01:23.000","2","","0266","in-house","parcel_centroid","","38","38","2023-09-07T23:55:00.000","Financial District/South Beach","B","otc alterations permit","2023-08-28T15:48:58.000","8","2023-08-28T00:00:00.000","94111","1677041390418","constr type 1","","N","4568","1","office","","{""coordinates"":[-122.398897638,37.79175722],""type"":""Point""}","","issued","constr type 1"
"2 family dwelling","5","2023-08-28T07:48:08.000","2","5","202308285370","R-3","2023-09-08T04:14:49.000","residential interior improvements-bathroom remodel, new cabinets, new finish flooring. no exterior work. no structural work.","","0","Lexington","9","St","","048","","2023-08-28T07:48:08.000","","","2","","3609","in-house","parcel_centroid","","2","2","2023-09-07T23:55:00.000","Mission","R-3","otc alterations permit","2023-08-28T09:07:05.000","8","2023-08-28T00:00:00.000","94110","1676969368227","wood frame (5)","","N","100000","328","2 family dwelling","2","{""coordinates"":[-122.420640522,37.758060033],""type"":""Point""}","","filed","wood frame (5)"
"church","5","2023-08-29T08:43:04.000","","5","202308285465","A-3","2023-09-08T04:14:49.000","reroofing","Y","70000","21st","1","Av","","024","","2023-08-28T15:52:03.000","","2023-08-29T08:43:04.000","0","","1452","in-house","parcel_centroid","","3","3","2023-09-07T23:55:00.000","Outer Richmond","A-3","otc alterations permit","2023-08-29T08:36:46.000","8","2023-08-28T00:00:00.000","94121","1677071100300","wood frame (5)","","N","70000","380","church","","{""coordinates"":[-122.480157635,37.780817967],""type"":""Point""}","","issued","wood frame (5)"
"apartments","5","2023-08-28T14:09:26.000","17","5","202308285435","R-2","2023-09-08T04:14:49.000","re-roofing","Y","87927","07th","1","Av","","034","","2023-08-28T13:39:40.000","","2023-08-28T14:09:26.000","0","","1649","in-house","parcel_centroid","","4","4","2023-09-07T23:55:00.000","Inner Richmond","R-2","otc alterations permit","2023-08-28T13:59:51.000","8","2023-08-28T00:00:00.000","94118","1677039243866","wood frame (5)","101","N","87927","790","apartments","17","{""coordinates"":[-122.464604063,37.773831496],""type"":""Point""}","","issued","wood frame (5)"
"apartments","5","2023-08-28T15:24:25.000","4","5","202308285447","R-2","2023-09-08T04:14:49.000","remodel bathroom. no changes to floor plan or walls. all fixture at same location.","Y","25000","Filbert","2","St","","039","","2023-08-28T14:34:13.000","","2023-08-28T15:24:25.000","0","","0521","in-house","parcel_centroid","","3","3","2023-09-07T23:55:00.000","Marina","R-2","otc alterations permit","2023-08-28T15:19:30.000","8","2023-08-28T00:00:00.000","94123","1677054288156","wood frame (5)","4","N","25000","1624","apartments","4","{""coordinates"":[-122.426361633,37.799440666],""type"":""Point""}","","issued","wood frame (5)"
"apartments","3","2023-08-28T14:26:25.000","1","3","202308285395","R-2,M","2023-09-08T04:14:49.000","townhouse #56: rehabilitate (e) kitchen and bathrooms, replace and relocate washer and dryer. no structural work is proposed.","Y","50000","Davis","3","Ct","","014","","2023-08-28T10:18:46.000","","2023-08-28T14:26:25.000","2","","0200","in-house","parcel_centroid","","2","2","2023-09-07T23:55:00.000","Financial District/South Beach","R-2,M","otc alterations permit","2023-08-28T14:25:55.000","8","2023-08-28T00:00:00.000","94111","1676997491633","constr type 3","","N","40000","440","apartments","1","{""coordinates"":[-122.397771188,37.79669694],""type"":""Point""}","","issued","constr type 3"
"1 family dwelling","5","2023-08-28T13:21:58.000","1","5","202308285416","R-3","2023-09-08T04:14:49.000","replace damaged siding of (3) exterior walls w/ james hardie plank siding","Y","37500","Edinburgh","11","St","","048","","2023-08-28T12:05:53.000","","2023-08-28T13:21:58.000","0","","6277","in-house","parcel_centroid","","1","1","2023-09-07T23:55:00.000","Excelsior","R-3","otc alterations permit","2023-08-28T13:16:23.000","8","2023-08-28T00:00:00.000","94112","1677018199791","wood frame (5)","","N","37500","653","1 family dwelling","1","{""coordinates"":[-122.433583336,37.718692966],""type"":""Point""}","","issued","wood frame (5)"
"office","1","2023-09-01T09:53:08.000","","1","202308285393","B","2023-09-08T04:14:49.000","suite 1400: t.i. demolition of non-structural partitions. new partitions and finishes. electrical and plumbing under sep permit.","Y","250000","Montgomery","3","St","","001","","2023-08-28T10:08:33.000","","2023-09-01T09:53:08.000","2","","0288","in-house","parcel_centroid","","16","16","2023-09-07T23:55:00.000","Financial District/South Beach","B","otc alterations permit","2023-09-01T09:49:16.000","8","2023-08-28T00:00:00.000","94104","1676995350635","constr type 1","","N","250000","155","office","","{""coordinates"":[-122.402552356,37.790754419],""type"":""Point""}","","issued","constr type 1"
"1 family dwelling","5","2023-08-28T13:45:32.000","1","5","202308285420","R-3","2023-09-08T04:14:49.000","remove extg t-iii siding at rear and install new t-iii siding aprox 320 sq ft.","Y","9000","Dartmouth","9","St","","027","","2023-08-28T12:46:44.000","","2023-08-28T13:45:32.000","0","","6129","in-house","parcel_centroid","","2","2","2023-09-07T23:55:00.000","Portola","R-3","otc alterations permit","2023-08-28T13:31:46.000","8","2023-08-28T00:00:00.000","94134","1677022196775","wood frame (5)","","N","9000","733","1 family dwelling","1","{""coordinates"":[-122.409525673,37.721613263],""type"":""Point""}","","issued","wood frame (5)"
"1 family dwelling","5","2023-08-28T09:31:19.000","1","5","202308285379","R-3","2023-09-08T04:14:49.000","reroofing","Y","10600","Bush","5","St","","035","","2023-08-28T08:57:46.000","","2023-08-28T09:31:19.000","0","","0661","in-house","parcel_centroid","","2","2","2023-09-07T23:55:00.000","Pacific Heights","R-3","otc alterations permit","2023-08-28T09:28:28.000","8","2023-08-28T00:00:00.000","94115","167698078154","wood frame (5)","","N","10600","2010","1 family dwelling","1","{""coordinates"":[-122.430716322,37.787657744],""type"":""Point""}","","issued","wood frame (5)"
"1 family dwelling","5","2023-08-28T11:42:57.000","1","5","202308285413","R-3","2023-09-08T04:14:49.000","rev to pa#202207188662. replace stucco in-kind at south elevation. new ext grade corner post w/ metal guardrail panels at south elevation. replace all (e) windows in place & in-kind; miscellaneous structural changes per field conditions","Y","65000","Clay","2","St","","007","","2023-08-28T11:42:57.000","","","2","","0993","in-house","parcel_centroid","","3","3","2023-09-07T23:55:00.000","Presidio Heights","R-3","otc alterations permit","2023-09-01T13:30:59.000","8","2023-08-28T00:00:00.000","94118","167701486337","wood frame (5)","","N","65000","3740","1 family dwelling","1","{""coordinates"":[-122.454458091,37.788413728],""type"":""Point""}","","filed","wood frame (5)"
"office","5","2023-08-28T14:41:03.000","0","5","202308285431","B","2023-09-08T04:14:49.000","re-roofing","Y","25000","South Park","6","","","061","","2023-08-28T13:33:50.000","","2023-08-28T14:41:03.000","0","","3775","in-house","parcel_centroid","","2","2","2023-09-07T23:55:00.000","Financial District/South Beach","B","otc alterations permit","2023-08-28T14:34:59.000","8","2023-08-28T00:00:00.000","94107","1677035470469","wood frame (5)","","N","25000","126","office","0","{""coordinates"":[-122.394567254,37.78158507],""type"":""Point""}","","issued","wood frame (5)"
"1 family dwelling","5","2023-08-28T14:40:46.000","1","5","202308285430","R-3","2023-09-08T04:14:49.000","re-roofing","Y","67000","Jackson","2","St","","003","","2023-08-28T13:28:38.000","","2023-08-28T14:40:46.000","0","","0585","in-house","parcel_centroid","","4","4","2023-09-07T23:55:00.000","Pacific Heights","R-3","otc alterations permit","2023-08-28T14:38:15.000","8","2023-08-28T00:00:00.000","94115","167703375414","wood frame (5)","","N","67000","2600","1 family dwelling","1","{""coordinates"":[-122.438075639,37.792297963],""type"":""Point""}","","issued","wood frame (5)"
"1 family dwelling","5","2023-08-28T09:23:46.000","1","5","202308285375","R-3","2023-09-08T04:14:49.000","partial foundatoin replacement at north and west walls of rear cottage","Y","15000","Treat","9","Av","","023","","2023-08-28T08:42:28.000","","2023-08-28T09:23:46.000","2","","3639","in-house","parcel_centroid","","2","2","2023-09-07T23:55:00.000","Mission","R-3","otc alterations permit","2023-08-28T09:11:39.000","8","2023-08-28T00:00:00.000","94110","1676976163516","wood frame (5)","","N","15000","950","1 family dwelling","1","{""coordinates"":[-122.413528257,37.754925748],""type"":""Point""}","","issued","wood frame (5)"
